model,approach,model_approach,input_tokens,output_tokens,cost_usd,used_estimate
mistralai/mistral-small-2603,agentic_rag,mistralai/mistral-small-2603 | agentic_rag,4620098,480841,0.9815193,False
mistralai/mistral-large-2512,agentic_rag,mistralai/mistral-large-2512 | agentic_rag,3170219,627402,2.5262125,False
google/gemini-3-flash-preview,agentic_rag,google/gemini-3-flash-preview | agentic_rag,4213270,340742,3.128861,False
mistralai/mistral-small-2603,crag,mistralai/mistral-small-2603 | crag,2353556,787395,0.8254703999999999,False
mistralai/mistral-large-2512,crag,mistralai/mistral-large-2512 | crag,2346004,931394,2.570093,False
google/gemini-3-flash-preview,crag,google/gemini-3-flash-preview | crag,2357934,678060,3.213147,False
mistralai/mistral-small-2603,lightrag,mistralai/mistral-small-2603 | lightrag,2722707,238804,0.55168845,False
mistralai/mistral-large-2512,lightrag,mistralai/mistral-large-2512 | lightrag,2704934,257950,1.739392,False
google/gemini-3-flash-preview,lightrag,google/gemini-3-flash-preview | lightrag,2698883,118720,1.7056015,False
